Retort_Temperature,Holding_Time,F0,Storage_Temperature,Storage_Day,pH,PV,TPC,O2,CO2,Moisture_Content,L_Value,a_Value,b_Value,Shelf_Life_Remaining
116.6,15.0,33.96,26.6,54.9,6.67,2.09,3.67,11.6,12.92,62.8,76.9,-5.0,24.4,23.5
117.5,25.8,33.21,35.5,92.7,5.36,8.06,8.93,2.13,19.31,41.1,30.8,0.4,26.5,5.4
117.6,17.6,15.35,20.1,11.2,5.93,4.03,1.47,11.43,8.74,58.7,55.7,16.0,9.7,64.2
124.0,22.1,11.48,16.3,17.9,4.22,4.03,2.28,14.71,1.66,50.1,49.6,6.9,26.7,62.4
112.7,27.4,11.9,18.2,29.9,4.38,6.64,1.3,15.68,9.39,48.5,38.6,19.3,23.1,55.6
129.2,17.1,36.66,31.2,51.7,4.03,6.34,3.29,1.24,11.16,71.2,79.3,-6.7,15.8,25.3
129.5,35.7,15.23,25.9,39.4,4.89,6.64,3.87,7.34,0.19,33.9,44.1,10.5,11.2,25.3
117.9,15.8,30.32,18.6,12.3,6.87,1.71,2.21,10.63,0.49,26.2,30.5,-8.8,26.2,61.3
119.2,27.3,11.32,41.4,108.3,6.5,6.11,8.17,0.83,19.13,66.4,39.9,-8.8,18.5,4.7
121.0,31.6,36.79,5.2,4.9,4.21,7.18,0.69,1.88,0.85,72.7,79.4,18.9,13.9,88.4
129.1,31.5,28.39,27.5,33.1,6.32,2.99,3.53,8.1,4.04,63.5,55.6,8.0,10.5,34.8
122.4,12.1,19.82,36.5,91.4,4.05,6.45,10.13,0.49,17.31,27.5,63.0,17.6,0.6,4.6
128.3,30.8,10.48,16.9,24.2,6.29,3.66,1.93,19.52,3.87,45.0,78.7,16.7,19.8,57.2
124.8,30.5,37.05,41.9,101.5,5.56,9.91,8.34,0.4,21.93,36.5,66.7,17.2,5.3,6.2
121.7,25.5,37.23,14.4,8.0,5.56,5.68,0.88,12.99,5.26,31.2,55.0,18.2,8.5,112.0
114.7,26.3,29.66,42.8,116.3,5.45,5.13,8.9,0.6,23.37,54.5,36.2,15.7,13.0,7.1
116.6,18.3,39.45,39.2,102.3,5.08,8.82,8.28,1.23,17.05,52.9,44.6,16.9,8.7,5.4
128.9,10.0,24.84,20.5,20.7,6.78,0.61,2.4,18.56,7.4,38.7,48.8,12.7,16.0,45.3
125.4,25.9,20.12,23.5,20.3,5.26,4.89,1.5,4.4,4.36,79.2,48.8,-0.7,23.3,51.4
122.0,27.6,27.16,8.9,1.5,5.1,3.92,0.8,11.27,14.07,55.0,31.0,4.0,0.3,112.1
119.0,30.3,15.11,40.0,96.1,6.33,6.39,10.52,2.54,16.3,34.6,48.8,-1.1,8.7,3.5
123.2,14.0,39.5,38.3,103.6,5.16,9.41,11.67,2.17,19.45,24.4,62.3,-4.1,15.0,2.3
118.5,12.6,31.38,42.3,101.2,6.68,8.77,10.91,0.97,24.29,54.8,53.8,7.1,7.4,7.3
112.6,36.7,28.38,37.7,107.6,4.56,5.35,8.64,0.73,16.55,69.9,75.2,4.1,0.9,1.4
129.3,25.2,30.44,39.6,111.4,5.82,9.23,9.22,1.88,23.94,68.4,48.0,11.8,15.5,2.7
125.6,25.2,27.9,19.9,27.6,5.01,1.49,1.64,4.57,10.52,57.5,49.4,15.7,6.3,72.4
116.6,13.2,23.2,35.6,104.3,4.97,9.24,8.24,2.8,19.02,74.2,75.6,3.4,11.5,4.2
128.5,17.9,12.94,42.1,119.7,4.13,6.3,9.82,1.27,21.02,58.4,57.2,7.9,16.9,0.3
120.7,22.9,31.79,41.4,112.8,5.79,6.02,10.55,0.31,24.97,52.1,74.7,-6.6,4.4,2.9
114.4,34.6,38.96,37.9,97.2,5.35,6.05,10.31,0.82,21.63,53.8,38.0,-0.4,12.5,4.4
110.1,39.3,28.74,34.7,33.2,4.15,2.9,2.82,10.06,12.52,24.7,71.8,-8.7,3.9,29.3
124.1,29.0,24.99,23.4,27.4,6.3,4.1,1.45,7.34,10.5,53.5,74.0,-3.7,19.2,58.7
124.3,17.5,31.4,39.7,97.0,5.41,7.28,9.35,0.23,21.45,22.0,35.5,13.9,24.7,4.8
122.8,12.3,17.59,33.7,42.3,4.93,4.83,4.17,15.62,12.49,52.7,74.8,19.0,1.3,20.1
112.8,33.8,16.83,9.2,6.6,5.07,4.17,0.48,12.89,14.61,41.2,47.3,3.1,20.6,108.0
114.5,31.8,31.42,7.8,2.3,6.57,5.27,1.0,19.8,0.67,60.5,43.7,1.8,19.2,88.4
125.0,34.9,12.39,23.1,15.2,4.09,1.79,1.15,19.06,6.02,44.9,42.1,-1.1,0.8,54.4
114.2,23.9,33.18,18.9,15.4,4.64,4.32,1.7,6.3,6.49,60.5,61.3,7.5,17.3,66.4
122.7,30.8,36.08,26.4,36.3,4.3,6.84,2.94,5.18,11.48,65.5,46.4,1.2,29.8,31.4
110.5,16.6,34.64,10.1,3.5,6.93,7.58,0.12,13.5,7.0,31.8,50.5,-8.5,2.5,112.0
126.1,10.3,33.64,42.4,102.9,5.18,5.03,11.95,1.18,20.86,25.3,59.9,13.9,15.1,9.6
122.1,25.0,24.26,17.4,20.6,5.19,1.59,1.72,10.09,10.73,77.4,36.8,-8.6,0.6,64.4
124.4,14.2,25.3,37.3,99.3,4.36,7.74,11.5,1.08,17.49,55.0,61.5,2.9,27.0,7.9
120.4,38.9,24.68,27.9,59.9,4.31,0.7,4.09,7.15,3.25,61.2,58.2,12.0,17.2,22.1
115.5,35.0,21.96,33.5,48.4,5.93,3.91,4.25,14.31,0.86,45.9,57.8,19.7,17.7,19.9
